codigo_item;descripcion;categoria;subcategoria;unidad_medida;cantidad;costo_unitario;precio_venta;valor_total;fecha_ingreso;fecha_ultimo_movimiento;fecha_vencimiento;almacen;ubicacion_fisica;proveedor;ruc_proveedor;orden_compra;stock_minimo;stock_maximo;stock_reorden;consumo_mensual;consumo_diario;unidades_vendidas;estado_item;clasificacion_abc;clasificacion_xyz;conteo_fisico;diferencia_inventario;moneda;tipo_cambio;relacionado;notas
2001030141;PULMON MAXIBRAKE DE FRENO;MERCADERIA REPUESTOS;;UNI;0;182.20;182.2;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.0833 ; 0.0028 ;1;activo;B;Y;0;0;S/;3.358;;
2001030396;FOCO LED LAGRIMA;MERCADERIA REPUESTOS;;UNI;0;1.02;1.02;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.8333 ; 0.0278 ;10;activo;B;Y;0;0;S/;3.358;;
2001030884;RESORTES DE ZAPATA CHICOS;MERCADERIA REPUESTOS;;UNI;0;5.93;5.93;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.6667 ; 0.0222 ;8;activo;B;Y;0;0;S/;3.358;;
2001031103;PAPEL BOND A-4 75 GR X 500 UND;MERCADERIA REPUESTOS;;UNI;2;11.66;11.66;23.32;28/09/2025;28/09/2025;28/09/2026;Lima;Lima;;;;2;2;; 1.1667 ; 0.0389 ;14;activo;B;Y;2;0;S/;3.358;;
2001031129;JUEGO DE ZAPATAS DE FRENO STD;MERCADERIA REPUESTOS;;UNI;0;127.13;127.13;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.0833 ; 0.0028 ;1;activo;B;Y;0;0;S/;3.358;;
2501000003;ABRAZADERA PLASTICA 200MM;SIST. ELECTRICO;;UNI;0;8.47;8.47;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.0833 ; 0.0028 ;1;activo;B;Y;0;0;S/;3.358;;
2501010131;BARBIQUEJO DIELECTRICO C/MENTONERA NAC.;EQUIPOS DE SEGURIDAD INDUSTRIAL;;UNI;2;0.85;0.85;1.7;20/03/2025;01/07/2025;20/03/2026;Lima;Lima;;;;2;2;; 0.3333 ; 0.0111 ;4;activo;C;X;2;0;S/;3.358;;
2501010133;GUANTES  SOLVEX;EQUIPOS DE SEGURIDAD INDUSTRIAL;;PAR;0;20.91;20.91;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.5000 ; 0.0167 ;6;activo;C;X;0;0;S/;3.358;;
2501010134;BARBIQUEJO C/MENTONERA Y SUJETADOR GRIS-ASTARA;EQUIPOS DE SEGURIDAD INDUSTRIAL;;UNI;3;1.36;1.36;4.08;02/06/2025;20/11/2025;02/06/2026;Lima;Lima;;;;3;3;; 0.2500 ; 0.0083 ;3;activo;C;X;3;0;S/;3.358;;
2501010135;BOTIN NEGRO P/ACERO, PLANTA POLIURETANO T 42;EQUIPOS DE SEGURIDAD INDUSTRIAL;;PAR;0;62.71;62.71;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.2500 ; 0.0083 ;3;activo;C;X;0;0;S/;3.358;;
2501010136;BOTIN NEGRO P/ACERO, PLANTA POLIURETANO  T:43;EQUIPOS DE SEGURIDAD INDUSTRIAL;;PAR;1;62.71;62.71;62.71;10/06/2025;22/08/2025;10/06/2026;Lima;Lima;;;;1;0;; 0.0833 ; 0.0028 ;1;activo;C;X;1;0;S/;3.358;;
2501010137;BOTIN NEGRO P/ACERO, PLANTA  POLIURETANO T:44;EQUIPOS DE SEGURIDAD INDUSTRIAL;;PAR;1;62.71;62.71;62.71;10/06/2025;10/06/2025;10/06/2026;Lima;Lima;;;;1;0;; -   ; -   ;0;activo;C;X;1;0;S/;3.358;;
2501031128;ALAMBRE ACERADO GALV N°8;PRODUCTOS VARIOS;;KG;0;6.05;6.05;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 87.5000 ; 2.9167 ;1050;activo;C;X;0;0;S/;3.358;;
2502010001;DIESEL B5 S-50;COMBUSTIBLE;;GLS;2625.563;10.64;10.64;27935.99;30/12/2025;30/12/2025;30/12/2026;Lima;Lima;;;;2625.563;2068943.644;; 17,833.2187 ; 594.4406 ;213998.624;activo;A;Z;2625.563;0;S/;3.358;;
2502010013;GASOLINA 90°;COMBUSTIBLE;;GLS;4;11.22;11.22;44.88;29/12/2025;29/12/2025;29/12/2026;Lima;Lima;;;;4;4;; 16.3084 ; 0.5436 ;195.701;activo;A;Z;4;0;S/;3.358;;
2502010020;BOMBA DE GASOLINA;COMBUSTIBLE;;UNI;0;101.69;101.69;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.0833 ; 0.0028 ;1;activo;A;Z;0;0;S/;3.358;;
2502010029;GAS SPRING ASSY;COMBUSTIBLE;;UNI;0;223.75;223.75;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.0833 ; 0.0028 ;1;activo;A;Z;0;0;S/;3.358;;
2502010032;GAS NATURAL LICUADO (Kg);COMBUSTIBLE;;KG;0;2.46;2.46;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 828.4350 ; 27.6145 ;9941.22;activo;A;Z;0;0;S/;3.358;;
2503010013;FILTRO DE HIDROLINA VO MANN FILTER H-601/4 H601/10 (349619);FILTRO;;UNI;0;11.26;11.26;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.2500 ; 0.0083 ;3;activo;B;Y;0;0;S/;3.358;;
2503010046;FILTRO COMBUSTIBLE FREIGHTLINER M2-CL/FLEETGUARD FF5405 (A5410900151);FILTRO;;UNI;0;46.16;46.16;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.5000 ; 0.0167 ;6;activo;B;Y;0;0;S/;3.358;;
2503010047;FILTRO ACEITE FREIGHTLINER LF16046 (A0001802109);FILTRO;;PZA;0;43.40;43.4;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.4167 ; 0.0139 ;5;activo;B;Y;0;0;S/;3.358;;
2503010048;FILTRO AIRE PRIMARIO FTL M2 - AF26424;FILTRO;;PZA;0;300.29;300.29;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.1667 ; 0.0056 ;2;activo;B;Y;0;0;S/;3.358;;
2503010049;FILTRO SEPARADOR COMBUSTIBLE RACCOR FREIGHTLINER M2-CL/FLEETGUARD FS19593 (ABP/N122R50418);FILTRO;;PZA;0;83.71;83.71;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.7500 ; 0.0250 ;9;activo;B;Y;0;0;S/;3.358;;
2503010067;FILTRO DE AIRE  098;FILTRO;;UNI;0;292.36;292.36;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.1667 ; 0.0056 ;2;activo;B;Y;0;0;S/;3.358;;
2503010070;FILTRO DE COMBUSTIBLE;FILTRO;;PZA;0;40.23;40.23;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 1.1667 ; 0.0389 ;14;activo;B;Y;0;0;S/;3.358;;
2503010077;FILTRO SECADOR DE AIRE AD9 BW 107794 : HCL;FILTRO;;UNI;0;88.51;88.51;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.5000 ; 0.0167 ;6;activo;B;Y;0;0;S/;3.358;;
2503010080;FILTRO COMBUSTIBLE VO/MK FLEETGUARD FF5507/FF254 (22480372);FILTRO;;UNI;0;38.55;38.55;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 1.1667 ; 0.0389 ;14;activo;B;Y;0;0;S/;3.358;;
2503010082;FILTRO SEPARADOR DE AGUA  FLEETGUAR FS19920;FILTRO;;UNI;0;72.27;72.27;0;31/12/2024;31/12/2025;31/12/2025;Lima;Lima;;;;0;0;; 0.0833 ; 0.0028 ;1;activo;B;Y;0;0;S/;3.358;;
